,经度,纬度,finial_score_四星半
0,113.6148072,34.7461267,0.7367943952393021
1,113.605824,34.76088803,0.6390607600519345
2,113.6148072,34.75350769,0.5879588093158045
3,113.6135904,34.73161912,0.5465327281798908
4,113.6122785,34.72441939,0.5224952294930353
5,113.605824,34.75350769,0.5484300393988293
6,113.6148072,34.76826771,0.5136434856671425
7,113.605824,34.73136273,0.5177207603795059
8,113.605824,34.72397975,0.505585581442927
9,113.5968409,34.73874504,0.5155284512744511
10,113.6148072,34.76088803,0.47528870865287004
11,113.605824,34.71659612,0.4529818075996141
12,113.605824,34.73874504,0.485718635953147
13,113.5968409,34.7461267,0.43607627067161403
14,113.605824,34.7461267,0.4388405640931262
15,113.6146853,34.73882268,0.45155290502853407
16,113.5968409,34.73136273,0.39990040792602266
17,113.6148072,34.77564672,0.3996793609511287
18,113.605824,34.76826771,0.40366608226765355
19,113.605824,34.77564672,0.3858065707664412
