,经度,纬度,finial_score_四星半
0,113.6687558,34.74421397,0.7400159782520384
1,113.6687558,34.75159514,0.5142424886522476
2,113.6682207,34.75675158,0.4853341614909551
3,113.6777389,34.74421397,0.43301664165870957
4,113.7675704,34.75159514,0.4084410056349122
5,113.66158,34.73723175,0.40354088905424346
6,113.6777389,34.69991312,0.3878905062208636
7,113.6867976,34.75147716,0.3862115524231081
8,113.7046884,34.72206651,0.3671450612447884
9,113.6867221,34.74421397,0.36057657881359445
10,113.6777389,34.73683215,0.3518969717451058
11,113.6687563,34.7294501,0.34600917341347487
12,113.6867221,34.73683215,0.34294321536194294
13,113.7585873,34.75159514,0.3398258374921611
14,113.6631151,34.75163844,0.3364849179744257
15,113.6954378,34.75133371,0.33317404594156363
16,113.6613329,34.74387706,0.32910910632669343
17,113.7046884,34.72944966,0.32896525685144695
18,113.7226547,34.72944966,0.32619695772011215
19,113.7136715,34.72206651,0.32479441501376444
