,经度,纬度,finial_score_四星半
0,34.79146869,113.6494767,0.6420640321647035
1,34.79884563,113.6854093,0.62477145686466
2,34.76195432,113.6764261,0.5889926345928167
3,34.79146869,113.6404935,0.5836391836317226
4,34.77671282,113.6494767,0.5514074517612405
5,34.77671282,113.6584598,0.5485421425278265
6,34.7693339,113.6584598,0.5069942855681516
7,34.78409108,113.6494767,0.5023385402531109
8,34.79146869,113.6584598,0.47663115327009464
9,34.79884563,113.6943924,0.46515817254206643
10,34.79884563,113.6494767,0.46510011662066253
11,34.76195432,113.6854093,0.4632649364496546
12,34.80622191,113.6943924,0.45977235572863057
13,34.74719318,113.7123587,0.4543931708753832
14,34.7693339,113.7123587,0.4437101695151099
15,34.81359753,113.6854093,0.4406236869795441
16,34.76195432,113.7213419,0.43270986193252936
17,34.75457408,113.7213419,0.4287345813135952
18,34.80622191,113.6854093,0.4267693048037552
19,34.79884563,113.6404935,0.4238665774865049
